,Sequence Name,Target Rate,FPrimer,RPrimer,-Strand Label,+Strand Label,Min BP,CAN Name,CAN UUID
0,S067_8a718d_α,0.902,FP001,RP001x,None,None,10,Penalized XOR,8a718d80064949059a599ea046a959c8
1,S067_8a718d_β,0.902,FP002,RP002x,None,None,10,Penalized XOR,8a718d80064949059a599ea046a959c8
2,S067_8a718d_a,0.866,FP005,FP001,None,L0,40,Penalized XOR,8a718d80064949059a599ea046a959c8
3,S067_8a718d_b,0.951,RP001x,FP002,L1,L1,70,Penalized XOR,8a718d80064949059a599ea046a959c8
4,S067_8a718d_c,0.866,RP002x,FP005,L0,None,40,Penalized XOR,8a718d80064949059a599ea046a959c8
5,S067_8a718d_d,0.653,FP005,FP004,None,None,10,Penalized XOR,8a718d80064949059a599ea046a959c8
6,S067_8a718d_e,0.758,FP004,RP004,L1,None,40,Penalized XOR,8a718d80064949059a599ea046a959c8
7,S067_b12a22_α,0.952,FP001,RP001x,None,None,10,Penalized AND,b12a2207d5394580967106cb2dc107ce
8,S067_b12a22_β,0.952,RP002x,FP002,None,None,10,Penalized AND,b12a2207d5394580967106cb2dc107ce
9,S067_b12a22_a,1.05,FP001,RP004,None,None,10,Penalized AND,b12a2207d5394580967106cb2dc107ce
10,S067_b12a22_b,1.05,FP002,RP004,None,None,10,Penalized AND,b12a2207d5394580967106cb2dc107ce
11,S067_b12a22_c,0.577,FP004,RP004,None,L1,40,Penalized AND,b12a2207d5394580967106cb2dc107ce
12,S067_b12a22_d,0.486,FP004,FP005,L0,None,40,Penalized AND,b12a2207d5394580967106cb2dc107ce
13,S067_0d89c8_α,0.902,FP001,RP001x,None,None,10,Penalized cOR,0d89c8bdccff4d17ae5d4e49a79d0e76
14,S067_0d89c8_β,0.902,FP002,RP002x,None,None,10,Penalized cOR,0d89c8bdccff4d17ae5d4e49a79d0e76
15,S067_0d89c8_a,0.806,RP008x,FP005,None,L0,40,Penalized cOR,0d89c8bdccff4d17ae5d4e49a79d0e76
16,S067_0d89c8_b,0.963,FP005,FP001,None,None,10,Penalized cOR,0d89c8bdccff4d17ae5d4e49a79d0e76
17,S067_0d89c8_c,0.477,RP001x,FP002,L1,L1,70,Penalized cOR,0d89c8bdccff4d17ae5d4e49a79d0e76
18,S067_0d89c8_d,0.963,RP002x,FP004,None,None,10,Penalized cOR,0d89c8bdccff4d17ae5d4e49a79d0e76
19,S067_0d89c8_e,0.806,FP004,RP004,L0,None,40,Penalized cOR,0d89c8bdccff4d17ae5d4e49a79d0e76
20,S067_76f36b_α,0.912,RP008x,FP001,None,None,10,Penalized uOR,76f36b20221d401389ffdea981307165
21,S067_76f36b_β,0.912,FP005,FP001,None,None,10,Penalized uOR,76f36b20221d401389ffdea981307165
22,S067_76f36b_a,1.03,FP001,RP001x,L1,None,40,Penalized uOR,76f36b20221d401389ffdea981307165
23,S067_76f36b_b,0.506,RP001x,FP002,L0,None,40,Penalized uOR,76f36b20221d401389ffdea981307165
